feature_names,feature_importance
ecoli_lab_LAE_lag1O,0.21283986472560365
ecoli_lab_GA_lag1O,0.13673655799186388
waterTemp_LAE_lag1O,0.08203788468797944
precipitation_KR_lag2D,0.06567623783706843
ecoli_colifast_GA_lag1O,0.059367937525641824
ecoli_lab_LAE_lag2O,0.05254247500063831
precipitation_VB_lag2D,0.039811212459792425
ecoli_colifast_GA_lag3O,0.03243735052601762
ecoli_colifast_LAE_lag2O,0.02961649493560746
coliforms_GA_lag1O,0.02547137161131362
ecoli_colifast_LAE_lag1O,0.021382133688220395
precipitation_KR_lag1D,0.021090760613108786
turb_LAE_lag2O,0.018743488362769897
precipitation_GBG_lag2D,0.014344974860770994
ecoli_colifast_GA_lag2O,0.009627826120308906
coliforms_LAE_lag1O,0.009330044275795445
flowrate_GG_lag1D,0.008907616265491481
ecoli_colifast_LAE_lag3O,0.008556093357948286
flowrate_GG_lag5D,0.008352510763081317
precipitation_GBG_lag1D,0.007983439195846419
turb_LAE_lag1O,0.0076334204644511695
turb_LAE_lag3O,0.007523740411987167
precipitation_VB_lag1D,0.007147235539749782
ecoli_lab_GA_lag2O,0.0067612328119894295
flowrate_GG_lag4D,0.005764695037520468
flowrate_LE_lag5D,0.005612200373732164
precipitation_VB_lag3D,0.005357045636614687
flowrate_LE_lag4D,0.005217028555881908
flowrate_LE_lag1D,0.0051125089506030815
ecoli_lab_LAE_lag3O,0.004989413407126362
coliforms_LAE_lag3O,0.004352902269664571
precipitation_KR_lag3D,0.0041994170887950655
flowrate_LE_lag2D,0.003947389894308218
flowrate_LE_lag3D,0.0038414467420906984
ecoli_lab_GA_lag3O,0.003603986276551332
precipitation_KR_lag5D,0.003475228367271728
flowrate_GG_lag2D,0.003430444008646784
coliforms_GA_lag3O,0.003280895868904279
coliforms_GA_lag2O,0.003180203303176904
flowrate_GG_lag3D,0.0029303476743186563
coliforms_LAE_lag2O,0.0028009104297616223
precipitation_GBG_lag6D,0.0027609591280333473
ecoli_colifast_GA_lag5O,0.0024815732099363096
precipitation_GBG_lag4D,0.0022071641426274604
precipitation_GBG_lag5D,0.002079115232969264
precipitation_VB_lag4D,0.0020616980465603335
precipitation_KR_lag4D,0.0018947047632747846
ecoli_colifast_GA_lag9O,0.0017857501378734774
ecoli_colifast_GA_lag4O,0.0016943079715375962
ecoli_colifast_GA_lag6O,0.0016599755275541511
precipitation_GBG_lag3D,0.0016108216334714542
precipitation_VB_lag5D,0.001557526838904684
ecoli_colifast_LAE_lag4O,0.001508643735790477
ecoli_colifast_LAE_lag9O,0.0013771364908608732
precipitation_VB_lag6D,0.0013744634632053675
ecoli_colifast_LAE_lag7O,0.0013363083042764756
ecoli_colifast_GA_lag7O,0.001161708942378077
ecoli_colifast_GA_lag10O,0.0011231124164250805
ecoli_colifast_LAE_lag5O,0.0010275196320168258
ecoli_colifast_LAE_lag8O,0.0009635455977864488
ecoli_colifast_GA_lag8O,0.0008961004840116607
precipitation_KR_lag6D,0.0008759363880358651
ecoli_colifast_LAE_lag6O,0.000838080265664145
ecoli_colifast_LAE_lag10O,0.0007058797287912153
